user36,723
user30,717
user15,702
user181,868
user118,805
user183,870
user127,814
user131,818
user74,761
user59,746
user48,735
user69,756
user65,752
user54,741
user149,836
user159,846
user151,838
user187,874
user100,787
user117,804
user109,796
user43,730
user176,863
user178,865
user63,750
user137,824
user170,857
user64,751
user146,833
user188,875
user192,879
user67,754
user84,771
user130,817
user108,795
user41,728
user38,725
user125,812
user44,731
user143,830
user193,880
user24,711
user47,734
user189,876
user134,821
user186,873
user20,707
user28,715
user116,803
user138,825
user11,698
user114,801
user180,867
user133,820
user179,866
user83,770
user37,724
user31,718
user199,886
user94,781
user3,690
user163,850
user68,755
user115,802
user89,776
user148,835
user10,697
user107,794
user141,828
user139,826
user197,884
user184,871
user172,859
user177,864
user168,855
user50,737
user77,764
user92,779
user93,780
user86,773
user39,726
user16,703
user171,858
user166,853
user99,786
user164,851
user42,729
user96,783
user81,768
user195,882
user75,762
user80,767
user132,819
user32,719
user60,747
user191,878
user33,720
user2,689
user112,799
user105,792
user19,706
user70,757
user22,709
user46,733
user198,885
user174,861
user175,862
user194,881
user35,722
user153,840
user53,740
user66,753
user18,705
user119,806
user126,813
user162,849
user152,839
user145,832
user79,766
user76,763
user8,695
user103,790
user62,749
user71,758
user165,852
user29,716
user5,692
user106,793
user123,810
user27,714
user155,842
user40,727
user55,742
user167,854
user113,800
user57,744
user147,834
user4,691
user23,710
user154,841
user73,760
user200,887
user150,837
user95,782
user104,791
user82,769
user12,699
user14,701
user34,721
user45,732
user110,797
user121,808
user160,847
user169,856
user196,883
user102,789
user128,815
user78,765
user51,738
user13,700
user72,759
user124,811
user52,739
user161,848
user85,772
user87,774
user56,743
user129,816
user9,696
user158,845
user190,877
user58,745
user101,788
user111,798
user6,693
user185,872
user26,713
user144,831
user140,827
user173,860
user49,736
user17,704
user122,809
user61,748
user182,869
user120,807
user88,775
user21,708
user156,843
user25,712
user91,778
user136,823
user157,844
user135,822
user90,777
user7,694
user97,784
user1,688
user142,829
user98,785
